month,county,residents_covid19_deaths_per_month,residents_covid19_cases_per_month,fatality_rate
8,Schenectady,3,11,0.2727272727272727
8,St. Lawrence,0,1,0
8,Steuben,13,29,0.4482758620689655
8,Suffolk,598,1539,0.3885640025990903
8,Sullivan,6,158,0.0379746835443038
8,Tioga,22,70,0.3142857142857143
8,Tompkins,0,1,0
8,Ulster,42,123,0.34146341463414637
8,Warren,23,55,0.41818181818181815
8,Washington,6,0,Inf
8,Wayne,0,5,0
8,Westchester,149,785,0.18980891719745224
8,Wyoming,0,3,0
8,Yates,8,15,0.5333333333333333
9,Albany,56,164,0.34146341463414637
9,Bronx,734,1382,0.5311143270622286
9,Broome,51,207,0.2463768115942029
9,Cattaraugus,0,3,0
9,Cayuga,0,1,0
9,Chautauqua,0,1,0
9,Chenango,0,5,0
9,Clinton,0,1,0
9,Columbia,21,69,0.30434782608695654
9,Cortland,0,4,0
9,Dutchess,43,133,0.3233082706766917
9,Erie,303,1192,0.25419463087248323
9,Essex,9,62,0.14516129032258066
9,Fulton,29,158,0.18354430379746836
9,Genesee,0,3,0
9,Greene,14,91,0.15384615384615385
9,Herkimer,6,33,0.18181818181818182
9,Jefferson,0,1,0
9,Kings,442,1176,0.3758503401360544
9,Lewis,0,1,0
9,Livingston,2,5,0.4
9,Madison,1,30,0.03333333333333333
9,Monroe,139,441,0.31519274376417233
9,Montgomery,6,22,0.2727272727272727
9,Nassau,288,861,0.3344947735191638
9,New York,316,774,0.4082687338501292
9,Niagara,21,163,0.12883435582822086
9,Oneida,58,220,0.2636363636363636
9,Onondaga,135,468,0.28846153846153844
9,Ontario,13,31,0.41935483870967744
9,Orange,169,435,0.38850574712643676
9,Orleans,39,97,0.4020618556701031
9,Oswego,0,1,0
9,Putnam,4,26,0.15384615384615385
9,Queens,538,1298,0.41448382126348227
9,Rensselaer,25,128,0.1953125
9,Richmond,244,410,0.5951219512195122
9,Rockland,37,133,0.2781954887218045
9,Saratoga,0,1,0
9,Schenectady,3,15,0.2
9,St. Lawrence,0,1,0
9,Steuben,13,67,0.19402985074626866
9,Suffolk,598,1548,0.3863049095607235
9,Sullivan,6,158,0.0379746835443038
9,Tioga,22,70,0.3142857142857143
9,Tompkins,0,1,0
9,Ulster,42,130,0.3230769230769231
9,Warren,23,55,0.41818181818181815
9,Washington,6,0,Inf
9,Wayne,0,5,0
9,Westchester,150,824,0.1820388349514563
9,Wyoming,0,3,0
9,Yates,8,15,0.5333333333333333
