month,county,residents_covid19_deaths_per_month,residents_covid19_cases_per_month,fatality_rate
8,New York,1062.8999999999999,3154.3,0.33696858256982526
8,Niagara,166.8,1314.9,0.1268537531371207
8,Oneida,620.3,1965.2,0.31564217382454707
8,Onondaga,563.9,1745.9,0.32298527979838476
8,Ontario,448.3,776.7,0.5771855285180894
8,Orange,1553.7,4068.4,0.38189460230065875
8,Orleans,503.4,1349.3,0.3730823389905877
8,Otsego,0,0,NA
8,Putnam,35.9,250.8,0.1431419457735247
8,Rensselaer,321.7,1988.5,0.1617802363590646
8,Richmond,1068.8,1553.5,0.6879948503379465
8,Saratoga,0,8.5,0
8,Schenectady,24.2,92.7,0.26105717367853287
8,Schuyler,0,0,NA
8,Seneca,0,0,NA
8,St. Lawrence,0,11.5,0
8,Steuben,146.4,348.29999999999995,0.4203273040482344
8,Sullivan,55,1600.2,0.03437070366204224
8,Tioga,131.7,419.2,0.31416984732824427
8,Tompkins,0,9.6,0
8,Ulster,272.90000000000003,736.3,0.3706369686269184
8,Warren,230.3,590.6,0.3899424314256688
8,Washington,30.9,0,Inf
8,Wayne,0,29.099999999999998,0
8,Westchester,1381.1,6516.7,0.211932419783019
8,Wyoming,0,21.9,0
8,Yates,68.4,128.2,0.5335413416536663
9,Albany,407,1210.3,0.3362802610922912
9,Allegany,0,0,NA
9,Bronx,3433.7000000000003,6831.4000000000005,0.5026348918230523
9,Broome,303.1,1175.2,0.2579135466303608
9,Cattaraugus,0,46.5,0
9,Cayuga,0,14.1,0
9,Chautauqua,0,7.1,0
9,Chenango,0,35.7,0
9,Clinton,0,15.6,0
9,Columbia,227.8,746.5,0.3051574012056263
9,Cortland,0,26.3,0
9,Delaware,0,0,NA
9,Dutchess,384.2,948.8000000000001,0.4049325463743676
9,Erie,2112.6,8303.4,0.25442589782498737
9,Essex,121.6,834.5,0.1457159976033553
9,Franklin,0,0,NA
9,Fulton,201.10000000000002,1432.5,0.1403839441535777
9,Genesee,0,35.5,0
9,Greene,108.5,705.4,0.15381343918344204
9,Herkimer,45.1,250.9,0.17975288959744917
9,Jefferson,0,11.8,0
9,Kings,2433.4,6089.3,0.399619003826384
9,Lewis,0,7.2,0
9,Livingston,66.7,138.10000000000002,0.48298334540188265
9,Madison,14.7,441.2,0.033318223028105165
9,Monroe,1442.5,3166.4,0.4555646791308742
9,Montgomery,75,253,0.2964426877470356
9,Nassau,1964.9,5577.2,0.3523094025675967
9,New York,1135.8,3374.2000000000003,0.3366131231106632
9,Niagara,163.4,1279.7,0.1276861764476049
9,Oneida,620.5,2003.7,0.30967709736986576
9,Onondaga,562.9,1742.9,0.3229674680130816
9,Ontario,866.7,1386,0.6253246753246754
9,Orange,1702.8999999999999,4161,0.40925258351357846
9,Orleans,462.5,1230,0.37601626016260165
9,Oswego,0,5.6,0
9,Otsego,0,0,NA
9,Putnam,35.2,248.1,0.1418782748891576
9,Rensselaer,356.7,1975.3,0.18058016503822205
9,Richmond,1069.6,1584.7,0.6749542500157758
9,Saratoga,0,8.9,0
9,Schenectady,24.1,118.9,0.20269133725820018
9,Schuyler,0,0,NA
9,Seneca,0,0,NA
9,St. Lawrence,0,11.1,0
9,Steuben,137.1,666.7,0.20563971801409928
9,Suffolk,3985.8,9845.4,0.40483880797123534
9,Sullivan,56.5,1682.8000000000002,0.03357499405752317
9,Tioga,132.5,421.7,0.3142044107185203
9,Tompkins,0,9.9,0
9,Ulster,275.40000000000003,773.3,0.3561360403465667
9,Warren,227.89999999999998,570.2,0.3996843212907751
9,Washington,33.1,0,Inf
9,Wayne,0,28.1,0
9,Westchester,1362.1000000000001,6773.8,0.2010835867607547
9,Wyoming,0,22.4,0
9,Yates,71.4,133.9,0.5332337565347274
