county,month,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate
Essex,2020-05-01,9,2628,0.00342465753424658,0
Essex,2020-06-01,5,3270,0.00152905198776758,0
Essex,2020-07-01,13,3159,0.00411522633744856,0
Essex,2020-08-01,76,4097,0.0185501586526727,0.045801527
Essex,2020-09-01,38,4210,0.00902612826603325,0.082840237
Essex,2020-10-01,34,5594,0.00607794065069718,0.068965517
Essex,2020-11-01,27,2827,0.00955076052352317,0.060869565
Franklin,2020-03-01,9,115,0.0782608695652174,0
Franklin,2020-04-01,6,275,0.0218181818181818,0
Franklin,2020-05-01,8,3067,0.0026084121291164,0
Franklin,2020-06-01,8,4291,0.00186436728035423,0
Franklin,2020-07-01,19,4545,0.00418041804180418,0.02
Franklin,2020-08-01,8,5257,0.0015217804831653,0.017241379
Franklin,2020-09-01,8,4860,0.00164609053497942,0.015151515
Franklin,2020-10-01,21,7689,0.00273117440499415,0.011494253
Franklin,2020-11-01,101,4035,0.0250309789343247,0.015957447
Fulton,2020-03-01,2,129,0.0155038759689922,0
Fulton,2020-04-01,73,699,0.104434907010014,0.04
Fulton,2020-05-01,135,2710,0.0498154981549815,0.09047619
Fulton,2020-06-01,47,5252,0.00894897182025895,0.101167315
Fulton,2020-07-01,25,4637,0.00539141686435195,0.09929078
Fulton,2020-08-01,29,5392,0.00537833827893175,0.090032154
Fulton,2020-09-01,28,4502,0.00621945801865837,0.08259587
Fulton,2020-10-01,28,7172,0.00390407138873397,0.076294278
Fulton,2020-11-01,26,3391,0.0076673547626069,0.071246819
Genesee,2020-03-01,13,182,0.0714285714285714,0.076923077
Genesee,2020-04-01,141,853,0.165298944900352,0.019480519
Genesee,2020-05-01,48,2910,0.0164948453608247,0.024752475
Genesee,2020-06-01,36,5631,0.00639318060735216,0.021008403
Genesee,2020-07-01,34,6084,0.00558842866535174,0.022058824
Genesee,2020-08-01,25,7350,0.00340136054421769,0.02020202
Genesee,2020-09-01,38,7120,0.00533707865168539,0.017910448
Genesee,2020-10-01,76,9737,0.00780527883331622,0.01459854
Genesee,2020-11-01,192,5101,0.0376396784944129,0.009950249
Greene,2020-03-01,18,230,0.0782608695652174,0
Greene,2020-04-01,121,941,0.128586609989373,0.014388489
Greene,2020-05-01,100,1804,0.0554323725055432,0.054393305
Greene,2020-06-01,21,3492,0.00601374570446735,0.05
Greene,2020-07-01,29,4035,0.00718711276332094,0.044982699
Greene,2020-08-01,20,4388,0.00455788514129444,0.042071197
Greene,2020-09-01,19,4175,0.00455089820359281,0.042682927
Greene,2020-10-01,188,7457,0.0252112109427384,0.029069767
Greene,2020-11-01,69,3502,0.0197030268418047,0.027350427
Hamilton,2020-03-01,2,14,0.142857142857143,0
Hamilton,2020-04-01,1,26,0.0384615384615385,0
Hamilton,2020-05-01,2,409,0.00488997555012225,0.2
Hamilton,2020-06-01,1,377,0.0026525198938992,0.166666667
Hamilton,2020-07-01,1,464,0.0021551724137931,0.142857143
Hamilton,2020-08-01,7,472,0.0148305084745763,0.071428571
Hamilton,2020-09-01,1,420,0.00238095238095238,0.066666667
Hamilton,2020-10-01,4,558,0.00716845878136201,0.052631579
Hamilton,2020-11-01,7,354,0.019774011299435,0.038461538
Herkimer,2020-03-01,12,83,0.144578313253012,0.166666667
Herkimer,2020-04-01,48,737,0.0651289009497965,0.05
Herkimer,2020-05-01,49,3567,0.0137370339220634,0.027522936
Herkimer,2020-06-01,53,8625,0.00614492753623188,0.018518519
Herkimer,2020-07-01,78,7000,0.0111428571428571,0.020833333
Herkimer,2020-08-01,58,8924,0.00649932765575975,0.033557047
Herkimer,2020-09-01,42,8275,0.00507552870090634,0.029411765
Herkimer,2020-10-01,59,10855,0.00543528327959466,0.025062657
Herkimer,2020-11-01,92,5485,0.0167730173199635,0.020366599
Jefferson,2020-03-01,12,365,0.0328767123287671,0
Jefferson,2020-04-01,49,1190,0.0411764705882353,0
Jefferson,2020-05-01,13,4803,0.00270664168228191,0
Jefferson,2020-06-01,14,7335,0.00190865712338105,0
Jefferson,2020-07-01,42,7738,0.00542775911088136,0
Jefferson,2020-08-01,20,7267,0.00275216733177377,0.006666667
Jefferson,2020-09-01,22,7592,0.00289778714436249,0.005813953
