month,county,residents_covid19_deaths_per_month,residents_covid19_cases_per_month,NH_monthly_fatality_rate,county_occupancy,county_cases,county_prevalence,NH_occupancy_rate,staff_flu_vaccination_rate,total_supply_ppe_monthly,total_shortage_stuff_monthly,ventilator_dependent_unit_monthly,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate,election_result.x,election_result.y
5,Fulton,17,94,0.180851064,307,94,0.306188925,0.842476551,0.943333333,1,1,0,135,2710,0.049815498,0.09047619,R,R
6,Fulton,10,31,0.322580645,302,125,0.413907285,1.003766685,0.943333333,1,1,0,47,5252,0.008948972,0.101167315,R,R
7,Fulton,1,25,0.04,304,150,0.493421053,0.829845779,0.943333333,1,1,0,25,4637,0.005391417,0.09929078,R,R
8,Fulton,1,8,0.125,308,158,0.512987013,0.830603896,0.943333333,1,1,0,29,5392,0.005378338,0.090032154,R,R
9,Fulton,0,0,NA,307,158,0.51465798,0.829858405,0.943333333,1,1,0,28,4502,0.006219458,0.08259587,R,R
10,Fulton,0,0,NA,312,158,0.506410256,0.838538059,0.943333333,1,1,0,NA,NA,NA,NA,R,R
5,Genesee,0,0,NA,438,0,0,0.941370248,0.9475,1,1,0,48,2910,0.016494845,0.024752475,R,R
6,Genesee,0,1,0,449,1,0.002227171,0.946787194,0.9475,1,1,0,36,5631,0.006393181,0.021008403,R,R
7,Genesee,0,0,NA,444,1,0.002252252,0.917198901,0.9475,1,1,0,34,6084,0.005588429,0.022058824,R,R
8,Genesee,0,0,NA,445,1,0.002247191,0.912417435,0.9475,1,0,0,25,7350,0.003401361,0.02020202,R,R
9,Genesee,0,2,0,448,3,0.006696429,0.891542259,0.9475,1,0,0,38,7120,0.005337079,0.017910448,R,R
10,Genesee,0,3,0,434,6,0.013824885,0.903167603,0.9475,1,1,0,NA,NA,NA,NA,R,R
5,Greene,14,90,0.155555556,207,90,0.434782609,0.807720588,0.975,1,0,0,100,1804,0.055432373,0.054393305,R,R
6,Greene,0,0,NA,217,90,0.414746544,0.813235294,0.975,1,0,0,21,3492,0.006013746,0.05,R,R
7,Greene,0,1,0,232,91,0.392241379,0.874632353,0.975,1,1,0,29,4035,0.007187113,0.044982699,R,R
8,Greene,0,0,NA,234,91,0.388888889,0.900098039,0.975,1,0,0,20,4388,0.004557885,0.042071197,R,R
9,Greene,0,0,NA,233,91,0.39055794,0.920526961,0.975,1,0,0,19,4175,0.004550898,0.042682927,R,R
10,Greene,0,0,NA,224,91,0.40625,0.892708333,0.975,1,0,0,NA,NA,NA,NA,R,R
5,Herkimer,NA,NA,NA,477,0,0,0.91357362,0.9475,1,1,0,49,3567,0.013737034,0.027522936,R,R
6,Herkimer,0,0,NA,467,0,0,0.905234695,0.9475,1,1,0,53,8625,0.006144928,0.018518519,R,R
7,Herkimer,0,2,0,461,2,0.004338395,0.886794638,0.9475,1,1,0,78,7000,0.011142857,0.020833333,R,R
8,Herkimer,6,30,0.2,448,32,0.071428571,0.865069657,0.9475,1,1,0,58,8924,0.006499328,0.033557047,R,R
9,Herkimer,0,1,0,434,33,0.076036866,0.846631359,0.9475,1,1,0,42,8275,0.005075529,0.029411765,R,R
10,Herkimer,0,0,NA,453,33,0.072847682,0.859117779,0.9475,1,0,0,NA,NA,NA,NA,R,R
5,Jefferson,0,0,NA,490,0,0,0.926196312,0.936666667,1,0,0,13,4803,0.002706642,0,R,R
6,Jefferson,0,0,NA,502,0,0,0.926035831,0.936666667,1,1,0,14,7335,0.001908657,0,R,R
7,Jefferson,0,1,0,503,1,0.001988072,0.929053844,0.936666667,1,1,0,42,7738,0.005427759,0,R,R
8,Jefferson,0,0,NA,509,1,0.001964637,0.943429038,0.936666667,1,1,0,20,7267,0.002752167,0.006666667,R,R
9,Jefferson,0,0,NA,507,1,0.001972387,0.957511477,0.936666667,1,1,0,22,7592,0.002897787,0.005813953,R,R
10,Jefferson,0,0,NA,507,1,0.001972387,0.95238387,0.936666667,1,1,0,NA,NA,NA,NA,R,R
5,Kings,418,851,0.491186839,7723,851,0.110190341,0.771797737,0.761,1,1,1,10534,165784,0.063540511,0.120100619,D,D
6,Kings,22,255,0.08627451,7928,1106,0.13950555,0.801083269,0.761,1,1,1,3689,244362,0.015096455,0.11889458,D,D
7,Kings,0,30,0,8019,1136,0.141663549,0.786589859,0.761,1,1,1,2752,245174,0.011224681,0.115963132,D,D
8,Kings,1,11,0.090909091,8153,1147,0.140684411,0.797931542,0.761,1,1,1,2624,281365,0.009325964,0.111950613,D,D
9,Kings,1,29,0.034482759,8145,1176,0.144383057,0.803441345,0.761,1,1,1,3944,294289,0.013401792,0.106122035,D,D
10,Kings,1,58,0.017241379,8167,1234,0.151095874,0.803567576,0.761,1,1,1,NA,NA,NA,NA,D,D
5,Lewis,0,0,NA,137,0,0,0.85625,0,1,1,0,11,1849,0.005949162,0.25,R,R
6,Lewis,0,0,NA,139,0,0,0.8609375,0,1,1,0,10,2199,0.004547522,0.166666667,R,R
7,Lewis,0,0,NA,140,0,0,0.875,0,1,0,0,4,2052,0.001949318,0.147058824,R,R
8,Lewis,0,0,NA,137,0,0,0.8625,0,1,0,0,15,1913,0.007841087,0.102040816,R,R
9,Lewis,0,1,0,138,1,0.007246377,0.85625,0,1,0,0,1,1990,0.000502513,0.1,R,R
10,Lewis,0,0,NA,137,1,0.00729927,0.8484375,0,1,0,0,NA,NA,NA,NA,R,R
5,Livingston,2,4,0.5,302,4,0.013245033,0.838831454,0.92,1,1,0,46,2755,0.016696915,0.025210084,R,R
6,Livingston,0,0,NA,291,4,0.013745704,0.817152256,0.92,1,1,0,11,5034,0.002185141,0.030769231,R,R
7,Livingston,0,1,0,283,5,0.017667845,0.76607665,0.92,1,1,0,36,5660,0.006360424,0.024096386,R,R
8,Livingston,0,0,NA,282,5,0.017730496,0.799329574,0.92,1,1,0,17,6008,0.002829561,0.032786885,R,R
9,Livingston,0,0,NA,276,5,0.018115942,0.78697264,0.92,1,1,0,25,6720,0.003720238,0.028846154,R,R
10,Livingston,0,0,NA,275,5,0.018181818,0.78554198,0.92,1,1,0,NA,NA,NA,NA,R,R
5,Madison,NA,NA,NA,NA,NA,NA,0.810416667,0.926666667,1,0,0,177,3475,0.050935252,0.025316456,R,R
6,Madison,0,0,NA,318,29,0.091194969,0.850173611,0.926666667,1,0,1,41,5831,0.007031384,0.025210084,R,R
7,Madison,0,0,NA,315,29,0.092063492,0.886805556,0.926666667,1,0,1,42,6207,0.006766554,0.022556391,R,R
8,Madison,0,1,0,327,30,0.091743119,0.894027778,0.926666667,1,1,1,62,10587,0.005856239,0.019522777,R,R
9,Madison,0,0,NA,316,30,0.094936709,0.884722222,0.926666667,1,0,1,37,10000,0.0037,0.018072289,R,R
10,Madison,0,0,NA,320,30,0.09375,0.909375,0.926666667,1,0,1,NA,NA,NA,NA,R,R
5,Monroe,NA,NA,NA,NA,NA,NA,0.820153597,0.738181818,1,1,1,1486,40854,0.036373427,0.066801619,D,D
6,Monroe,34,55,0.618181818,NA,459,NA,0.786230153,0.738181818,1,1,1,816,77601,0.010515328,0.064550265,D,D
7,Monroe,3,2,1.5,NA,461,NA,0.803288671,0.738181818,1,1,1,962,88685,0.010847381,0.052720371,D,D
8,Monroe,0,2,0,NA,463,NA,0.818051613,0.738181818,1,1,1,720,103292,0.00697053,0.047052362,D,D
