month,county,NH_occupancy_rate
5,Schenectady,0.9240316677158047
5,Schuyler,0.9416666666666667
5,Seneca,0.5333333333333333
5,St. Lawrence,0.834465737514518
5,Steuben,0.7946141395154553
5,Suffolk,0.7252580377437198
5,Sullivan,0.7671530255937992
5,Tioga,0.8100865800865801
5,Tompkins,0.8168055555555556
5,Ulster,0.8270073718048858
5,Warren,0.7845010553470919
5,Washington,0.9500574074637307
5,Wayne,0.9354278673835126
5,Westchester,0.7214484637328823
5,Wyoming,0.9407608695652174
5,Yates,0.8528985507246377
6,Albany,0.8002926197856151
6,Allegany,0.905746487119438
6,Bronx,0.8436693562990409
6,Broome,0.8635718963311688
6,Cattaraugus,0.8380970916568743
6,Cayuga,0.8754772853957636
6,Chautauqua,0.9033492906333328
6,Chemung,0.8887009803921568
6,Chenango,0.761934841765773
6,Clinton,0.8404748081234412
6,Columbia,0.7133359593837535
6,Cortland,0.8847275454897406
6,Delaware,0.8522111357477211
6,Dutchess,0.8291432960532406
6,Erie,0.8176085858196814
6,Essex,0.9169077013521458
6,Franklin,0.8460648148148149
6,Fulton,1.0037666847041846
6,Genesee,0.9467871943804403
6,Greene,0.8132352941176471
6,Herkimer,0.9052346945296523
6,Jefferson,0.9260358309990663
6,Kings,0.8010832691759895
6,Lewis,0.8609375
6,Livingston,0.8171522556390978
6,Madison,0.8501736111111111
6,Monroe,0.7862301533925298
6,Montgomery,0.8805952380952381
6,Nassau,0.7203849670791663
6,New York,0.7746503902824072
6,Niagara,0.8130321702897537
6,Oneida,0.8420767958644381
6,Onondaga,0.8175847809062411
6,Ontario,0.9118112098635405
6,Orange,0.7364613900566289
6,Orleans,0.7115530303030303
6,Oswego,0.8191145833333333
6,Otsego,1.1056062113174183
6,Putnam,0.62890625
6,Queens,0.733064375885846
6,Rensselaer,0.8590133070631825
6,Richmond,0.7632198589305688
6,Rockland,0.5933853918613771
6,Saratoga,0.760636533779325
6,Schenectady,0.9207598456437127
6,Schuyler,0.94375
6,Seneca,0.5229166666666667
6,St. Lawrence,0.8385140824622532
6,Steuben,0.8135821324143693
6,Suffolk,0.8064304046806584
6,Sullivan,0.7823963249683435
6,Tioga,0.7799350649350649
6,Tompkins,0.8201388888888889
6,Ulster,0.8945663097928535
6,Warren,1.0268279653950385
6,Washington,1.0654556764956356
6,Wayne,0.8966684867831541
6,Westchester,0.7371557976470191
6,Wyoming,0.949411231884058
6,Yates,0.8586956521739131
7,Albany,0.8318851660253975
7,Allegany,0.889344262295082
7,Bronx,0.8129795294469176
7,Broome,0.8629235693342399
7,Cattaraugus,0.823502374657266
7,Cayuga,0.8619495540691193
7,Chautauqua,0.894561071535361
7,Chemung,0.8084759723561555
7,Chenango,0.7496994053618222
7,Clinton,0.8359750124357772
7,Columbia,0.7407081582633053
7,Cortland,0.8888492063492064
7,Delaware,0.8599508807588075
7,Dutchess,0.823346758950201
7,Erie,0.8041715919232751
7,Essex,0.8965652557319224
7,Franklin,0.8576388888888888
7,Fulton,0.8298457792207793
7,Genesee,0.9171989007296467
7,Greene,0.8746323529411765
