month,day,county,total_number_of_occupied_beds,residents_total_confirmed_covid_19,county_occupancy,county_cases,county_prevalence
9,27,Nassau,51,0,5529,861,0.15572436245252305
10,25,Nassau,58,0,5566,867,0.15576715774344232
5,31,Kings,129,5,7723,851,0.11019034054124045
6,28,Kings,127,23,7928,1106,0.13950554994954592
7,26,Kings,133,23,8019,1136,0.1416635490709565
8,30,Kings,141,23,8153,1147,0.14068441064638784
9,27,Kings,129,23,8145,1176,0.1443830570902394
10,25,Kings,126,23,8167,1234,0.1510958736378107
5,31,Dutchess,144,0,1506,123,0.08167330677290836
6,28,Dutchess,144,0,1603,126,0.07860262008733625
7,26,Dutchess,146,0,1588,129,0.08123425692695214
8,30,Dutchess,139,0,1601,131,0.08182386008744534
9,27,Dutchess,136,0,1627,133,0.08174554394591273
10,25,Dutchess,134,0,1633,133,0.08144519289650949
6,28,Bronx,85,23,9266,1328,0.14331966328512843
7,26,Bronx,85,23,9248,1357,0.14673442906574394
8,30,Bronx,83,23,9057,1372,0.15148503919620182
9,27,Bronx,84,23,9345,1382,0.14788657035848046
10,25,Bronx,86,23,9386,1391,0.1481994459833795
5,31,Erie,143,0,4271,782,0.18309529384219153
6,28,Erie,152,0,4473,1113,0.24882629107981222
7,26,Erie,149,0,4481,1171,0.26132559696496316
8,30,Erie,149,0,4583,1197,0.2611826314641065
9,27,Erie,145,0,4600,1226,0.2665217391304348
10,25,Erie,145,1,4558,1344,0.2948661693725318
5,31,Bronx,222,0,8232,798,0.09693877551020408
6,28,Bronx,222,0,9266,1328,0.14331966328512843
7,26,Bronx,227,0,9248,1357,0.14673442906574394
8,30,Bronx,222,0,9057,1372,0.15148503919620182
9,27,Bronx,225,0,9345,1382,0.14788657035848046
10,25,Bronx,226,0,9386,1391,0.1481994459833795
5,31,Suffolk,195,28,6153,1325,0.21534210954006175
6,28,Suffolk,199,28,6152,1484,0.24122236671001301
7,26,Suffolk,204,28,6180,1521,0.24611650485436892
8,30,Suffolk,210,28,6343,1537,0.24231436228913764
9,27,Suffolk,207,28,6444,1548,0.24022346368715083
10,25,Suffolk,206,28,6508,1561,0.23985863552550707
5,31,Suffolk,131,95,6153,1325,0.21534210954006175
6,28,Suffolk,147,97,6152,1484,0.24122236671001301
7,26,Suffolk,144,97,6180,1521,0.24611650485436892
8,30,Suffolk,152,97,6343,1537,0.24231436228913764
9,27,Suffolk,155,97,6444,1548,0.24022346368715083
10,25,Suffolk,144,97,6508,1561,0.23985863552550707
5,31,Erie,163,76,4271,782,0.18309529384219153
6,28,Erie,142,95,4473,1113,0.24882629107981222
7,26,Erie,150,111,4481,1171,0.26132559696496316
8,30,Erie,145,111,4583,1197,0.2611826314641065
9,27,Erie,142,111,4600,1226,0.2665217391304348
10,25,Erie,149,111,4558,1344,0.2948661693725318
5,31,Suffolk,232,42,6153,1325,0.21534210954006175
6,28,Suffolk,248,57,6152,1484,0.24122236671001301
7,26,Suffolk,258,58,6180,1521,0.24611650485436892
8,30,Suffolk,272,59,6343,1537,0.24231436228913764
9,27,Suffolk,273,64,6444,1548,0.24022346368715083
10,25,Suffolk,278,72,6508,1561,0.23985863552550707
5,31,Chenango,82,0,423,4,0.009456264775413711
6,28,Chenango,75,0,401,4,0.00997506234413965
7,26,Chenango,76,0,398,5,0.01256281407035176
8,30,Chenango,76,0,396,5,0.012626262626262626
9,27,Chenango,78,0,396,5,0.012626262626262626
10,25,Chenango,78,0,402,6,0.014925373134328358
5,31,Rensselaer,104,0,1080,18,0.016666666666666666
6,28,Rensselaer,117,3,1106,21,0.0189873417721519
7,26,Rensselaer,111,3,1088,103,0.09466911764705882
8,30,Rensselaer,105,3,1087,128,0.11775528978840846
9,27,Rensselaer,104,3,1084,128,0.11808118081180811
10,25,Rensselaer,107,3,1093,145,0.13266239707227814
5,31,Suffolk,143,14,6153,1325,0.21534210954006175
6,28,Suffolk,132,20,6152,1484,0.24122236671001301
7,26,Suffolk,124,21,6180,1521,0.24611650485436892
8,30,Suffolk,133,21,6343,1537,0.24231436228913764
9,27,Suffolk,141,21,6444,1548,0.24022346368715083
10,25,Suffolk,144,22,6508,1561,0.23985863552550707
5,31,New York,32,9,4485,654,0.14581939799331103
6,28,New York,32,9,4482,707,0.15774207942882643
7,26,New York,31,9,4508,733,0.16259982253771074
8,30,New York,31,9,4562,750,0.16440157825515125
9,27,New York,33,9,4501,774,0.17196178626971784
10,25,New York,32,9,4610,780,0.16919739696312364
5,31,Bronx,92,4,8232,798,0.09693877551020408
6,28,Bronx,88,6,9266,1328,0.14331966328512843
7,26,Bronx,89,6,9248,1357,0.14673442906574394
8,30,Bronx,89,6,9057,1372,0.15148503919620182
9,27,Bronx,89,7,9345,1382,0.14788657035848046
10,25,Bronx,88,7,9386,1391,0.1481994459833795
5,31,Onondaga,136,0,2297,386,0.16804527644754028
6,28,Onondaga,138,0,2354,461,0.19583687340696687
7,26,Onondaga,148,0,2414,463,0.19179784589892296
8,30,Onondaga,142,0,2425,467,0.19257731958762886
9,27,Onondaga,145,0,2449,468,0.19109840751327073
10,25,Onondaga,142,2,2422,473,0.1952931461601982
5,31,Ulster,184,88,1028,118,0.11478599221789883
6,28,Ulster,192,88,1038,118,0.11368015414258188
7,26,Ulster,198,88,1032,118,0.11434108527131782
8,30,Ulster,217,88,1056,123,0.11647727272727272
9,27,Ulster,219,94,1045,130,0.12440191387559808
10,25,Ulster,216,97,1030,133,0.129126213592233
5,31,Columbia,110,0,279,36,0.12903225806451613
6,28,Columbia,115,0,401,67,0.16708229426433915
7,26,Columbia,116,0,431,68,0.15777262180974477
8,30,Columbia,114,0,451,69,0.15299334811529933
9,27,Columbia,114,0,451,69,0.15299334811529933
10,25,Columbia,114,0,450,69,0.15333333333333332
5,31,Albany,112,0,1411,130,0.09213323883770376
6,28,Albany,127,0,1443,141,0.09771309771309772
7,26,Albany,132,0,1474,155,0.10515603799185888
8,30,Albany,117,7,1484,164,0.1105121293800539
9,27,Albany,124,7,1475,164,0.1111864406779661
10,25,Albany,133,7,1519,169,0.11125740618828177
5,31,Cortland,66,0,335,0,0
6,28,Cortland,67,0,339,0,0
7,26,Cortland,64,0,338,1,0.0029585798816568047
8,30,Cortland,64,0,326,4,0.012269938650306749
9,27,Cortland,60,0,323,4,0.01238390092879257
10,25,Cortland,63,0,315,4,0.012698412698412698
5,31,Monroe,87,22,3810,404,0.10603674540682415
6,28,Monroe,94,23,3779,434,0.11484519714210109
7,26,Monroe,97,23,3847,436,0.1133350662854172
8,30,Monroe,101,24,4000,438,0.1095
9,27,Monroe,112,24,4026,441,0.10953800298062594
10,25,Monroe,117,24,4147,473,0.11405835543766578
5,31,Queens,137,46,8683,914,0.10526315789473684
6,28,Queens,138,49,9066,1219,0.13445841606000442
7,26,Queens,134,49,9114,1253,0.13748079877112135
8,30,Queens,129,49,9310,1337,0.14360902255639096
9,27,Queens,134,49,9359,1357,0.14499412330377176
10,25,Queens,136,49,9387,1379,0.14690529455630127
5,31,Bronx,152,0,8232,798,0.09693877551020408
6,28,Bronx,155,1,9266,1328,0.14331966328512843
7,26,Bronx,162,1,9248,1357,0.14673442906574394
8,30,Bronx,159,2,9057,1372,0.15148503919620182
9,27,Bronx,155,2,9345,1382,0.14788657035848046
10,25,Bronx,159,2,9386,1391,0.1481994459833795
5,31,Richmond,364,59,2384,320,0.1342281879194631
6,28,Richmond,364,64,2410,391,0.16224066390041494
7,26,Richmond,363,64,2415,399,0.16521739130434782
8,30,Richmond,360,64,2411,406,0.16839485690584818
9,27,Richmond,363,66,2395,410,0.17118997912317327
10,25,Richmond,361,66,2418,414,0.17121588089330025
5,31,Saratoga,107,1,536,1,0.0018656716417910447
6,28,Saratoga,110,1,551,1,0.0018148820326678765
7,26,Saratoga,112,1,533,1,0.001876172607879925
8,30,Saratoga,117,1,534,1,0.0018726591760299626
9,27,Saratoga,112,1,530,1,0.0018867924528301887
10,25,Saratoga,110,1,531,1,0.0018832391713747645
5,31,Bronx,176,8,8232,798,0.09693877551020408
6,28,Bronx,176,11,9266,1328,0.14331966328512843
7,26,Bronx,176,11,9248,1357,0.14673442906574394
8,30,Bronx,179,11,9057,1372,0.15148503919620182
9,27,Bronx,183,11,9345,1382,0.14788657035848046
10,25,Bronx,178,11,9386,1391,0.1481994459833795
5,31,Erie,154,138,4271,782,0.18309529384219153
6,28,Erie,113,214,4473,1113,0.24882629107981222
7,26,Erie,109,242,4481,1171,0.26132559696496316
8,30,Erie,120,242,4583,1197,0.2611826314641065
9,27,Erie,119,242,4600,1226,0.2665217391304348
10,25,Erie,117,242,4558,1344,0.2948661693725318
5,31,Monroe,126,0,3810,404,0.10603674540682415
6,28,Monroe,134,0,3779,434,0.11484519714210109
7,26,Monroe,136,0,3847,436,0.1133350662854172
8,30,Monroe,123,0,4000,438,0.1095
9,27,Monroe,130,0,4026,441,0.10953800298062594
10,25,Monroe,132,0,4147,473,0.11405835543766578
6,28,Bronx,91,0,9266,1328,0.14331966328512843
7,26,Bronx,88,0,9248,1357,0.14673442906574394
8,30,Bronx,83,0,9057,1372,0.15148503919620182
9,27,Bronx,86,0,9345,1382,0.14788657035848046
10,25,Bronx,83,0,9386,1391,0.1481994459833795
5,31,Suffolk,143,17,6153,1325,0.21534210954006175
6,28,Suffolk,139,19,6152,1484,0.24122236671001301
7,26,Suffolk,139,22,6180,1521,0.24611650485436892
8,30,Suffolk,151,22,6343,1537,0.24231436228913764
9,27,Suffolk,155,24,6444,1548,0.24022346368715083
10,25,Suffolk,157,24,6508,1561,0.23985863552550707
5,31,Orange,56,52,1037,390,0.3760848601735776
6,28,Orange,55,52,1007,420,0.4170804369414101
7,26,Orange,60,52,1034,430,0.4158607350096712
8,30,Orange,58,54,1048,433,0.4131679389312977
9,27,Orange,65,54,1143,435,0.3805774278215223
10,25,Orange,67,55,1152,440,0.3819444444444444
5,31,Cayuga,70,0,185,0,0
6,28,Cayuga,75,0,466,0,0
7,26,Cayuga,67,1,461,1,0.0021691973969631237
8,30,Cayuga,68,1,462,1,0.0021645021645021645
9,27,Cayuga,71,1,463,1,0.0021598272138228943
10,25,Cayuga,74,1,457,3,0.006564551422319475
5,31,Monroe,114,0,3810,404,0.10603674540682415
6,28,Monroe,112,0,3779,434,0.11484519714210109
7,26,Monroe,109,0,3847,436,0.1133350662854172
8,30,Monroe,106,0,4000,438,0.1095
9,27,Monroe,109,0,4026,441,0.10953800298062594
10,25,Monroe,111,0,4147,473,0.11405835543766578
5,31,Nassau,223,0,4872,610,0.12520525451559936
6,28,Nassau,222,8,5334,808,0.15148106486689164
7,26,Nassau,218,9,5399,842,0.15595480644563808
8,30,Nassau,219,9,5400,858,0.15888888888888889
9,27,Nassau,214,9,5529,861,0.15572436245252305
10,25,Nassau,213,9,5566,867,0.15576715774344232
5,31,Genesee,108,0,438,0,0
6,28,Genesee,104,0,449,1,0.0022271714922048997
7,26,Genesee,96,0,444,1,0.0022522522522522522
8,30,Genesee,101,0,445,1,0.0022471910112359553
9,27,Genesee,103,2,448,3,0.006696428571428571
10,25,Genesee,96,4,434,6,0.013824884792626729
5,31,Dutchess,123,2,1506,123,0.08167330677290836
6,28,Dutchess,117,2,1603,126,0.07860262008733625
7,26,Dutchess,112,2,1588,129,0.08123425692695214
8,30,Dutchess,118,2,1601,131,0.08182386008744534
9,27,Dutchess,117,2,1627,133,0.08174554394591273
10,25,Dutchess,117,2,1633,133,0.08144519289650949
5,31,Niagara,95,0,1012,67,0.06620553359683795
6,28,Niagara,96,1,1109,108,0.09738503155996393
7,26,Niagara,97,2,1129,141,0.12488928255093003
8,30,Niagara,110,2,1145,161,0.1406113537117904
9,27,Niagara,98,2,1130,163,0.14424778761061946
10,25,Niagara,98,4,1154,169,0.1464471403812825
5,31,Queens,168,10,8683,914,0.10526315789473684
6,28,Queens,171,14,9066,1219,0.13445841606000442
7,26,Queens,192,15,9114,1253,0.13748079877112135
8,30,Queens,203,18,9310,1337,0.14360902255639096
9,27,Queens,221,19,9359,1357,0.14499412330377176
10,25,Queens,227,19,9387,1379,0.14690529455630127
5,31,New York,231,41,4485,654,0.14581939799331103
6,28,New York,216,42,4482,707,0.15774207942882643
7,26,New York,221,47,4508,733,0.16259982253771074
8,30,New York,226,47,4562,750,0.16440157825515125
9,27,New York,235,48,4501,774,0.17196178626971784
10,25,New York,242,48,4610,780,0.16919739696312364
5,31,Tompkins,42,0,357,0,0
6,28,Tompkins,43,0,366,0,0
7,26,Tompkins,45,0,362,1,0.0027624309392265192
8,30,Tompkins,44,0,366,1,0.00273224043715847
9,27,Tompkins,42,0,372,1,0.002688172043010753
10,25,Tompkins,41,3,359,4,0.011142061281337047
5,31,Oneida,119,0,2175,98,0.045057471264367814
6,28,Oneida,116,0,2143,182,0.08492767148856743
7,26,Oneida,118,0,2082,212,0.10182516810758886
8,30,Oneida,109,0,2117,215,0.10155880963627775
