month,day,county,total_number_of_occupied_beds,residents_total_confirmed_covid_19,county_occupancy,county_cases,county_prevalence
5,31,Westchester,74,0,4474,626,0.1399195350916406
6,28,Westchester,73,7,4808,775,0.16118968386023294
7,26,Westchester,71,11,4814,805,0.16722060656418777
8,30,Westchester,77,14,4944,810,0.1638349514563107
9,27,Westchester,79,15,4964,824,0.16599516518936341
10,25,Westchester,77,15,4989,862,0.17278011625576267
5,31,Cayuga,79,0,185,0,0
6,28,Cayuga,84,0,466,0,0
7,26,Cayuga,83,0,461,1,0.0021691973969631237
8,30,Cayuga,81,0,462,1,0.0021645021645021645
9,27,Cayuga,82,0,463,1,0.0021598272138228943
10,25,Cayuga,80,0,457,3,0.006564551422319475
5,31,Westchester,91,10,4474,626,0.1399195350916406
6,28,Westchester,96,14,4808,775,0.16118968386023294
7,26,Westchester,95,14,4814,805,0.16722060656418777
8,30,Westchester,94,14,4944,810,0.1638349514563107
9,27,Westchester,95,14,4964,824,0.16599516518936341
10,25,Westchester,97,14,4989,862,0.17278011625576267
5,31,Oneida,223,1,2175,98,0.045057471264367814
6,28,Oneida,196,36,2143,182,0.08492767148856743
7,26,Oneida,157,64,2082,212,0.10182516810758886
8,30,Oneida,169,66,2117,215,0.10155880963627775
9,27,Oneida,180,66,2093,220,0.1051122790253225
10,25,Oneida,175,66,2094,269,0.12846227316141356
5,31,Monroe,325,64,3810,404,0.10603674540682415
6,28,Monroe,327,64,3779,434,0.11484519714210109
7,26,Monroe,324,64,3847,436,0.1133350662854172
8,30,Monroe,312,65,4000,438,0.1095
9,27,Monroe,322,65,4026,441,0.10953800298062594
10,25,Monroe,315,65,4147,473,0.11405835543766578
5,31,Bronx,167,3,8232,798,0.09693877551020408
6,28,Bronx,163,8,9266,1328,0.14331966328512843
7,26,Bronx,163,8,9248,1357,0.14673442906574394
8,30,Bronx,171,8,9057,1372,0.15148503919620182
9,27,Bronx,172,8,9345,1382,0.14788657035848046
10,25,Bronx,171,9,9386,1391,0.1481994459833795
5,31,Schenectady,223,1,959,1,0.0010427528675703858
6,28,Schenectady,224,5,955,5,0.005235602094240838
7,26,Schenectady,228,7,944,7,0.007415254237288136
8,30,Schenectady,232,7,941,11,0.011689691817215728
9,27,Schenectady,234,7,940,15,0.015957446808510637
10,25,Schenectady,225,7,950,16,0.016842105263157894
5,31,Bronx,295,105,8232,798,0.09693877551020408
6,28,Bronx,286,173,9266,1328,0.14331966328512843
7,26,Bronx,284,174,9248,1357,0.14673442906574394
8,30,Bronx,292,174,9057,1372,0.15148503919620182
9,27,Bronx,302,174,9345,1382,0.14788657035848046
10,25,Bronx,304,174,9386,1391,0.1481994459833795
5,31,Tompkins,101,0,357,0,0
6,28,Tompkins,103,0,366,0,0
7,26,Tompkins,102,0,362,1,0.0027624309392265192
8,30,Tompkins,99,0,366,1,0.00273224043715847
9,27,Tompkins,109,0,372,1,0.002688172043010753
10,25,Tompkins,100,0,359,4,0.011142061281337047
5,31,Bronx,188,2,8232,798,0.09693877551020408
6,28,Bronx,175,9,9266,1328,0.14331966328512843
7,26,Bronx,176,12,9248,1357,0.14673442906574394
8,30,Bronx,171,12,9057,1372,0.15148503919620182
9,27,Bronx,164,12,9345,1382,0.14788657035848046
10,25,Bronx,171,12,9386,1391,0.1481994459833795
5,31,Bronx,561,21,8232,798,0.09693877551020408
6,28,Bronx,562,29,9266,1328,0.14331966328512843
7,26,Bronx,569,29,9248,1357,0.14673442906574394
8,30,Bronx,571,29,9057,1372,0.15148503919620182
9,27,Bronx,568,35,9345,1382,0.14788657035848046
10,25,Bronx,563,42,9386,1391,0.1481994459833795
5,31,Nassau,121,20,4872,610,0.12520525451559936
6,28,Nassau,125,22,5334,808,0.15148106486689164
7,26,Nassau,127,22,5399,842,0.15595480644563808
8,30,Nassau,122,22,5400,858,0.15888888888888889
9,27,Nassau,119,22,5529,861,0.15572436245252305
10,25,Nassau,126,22,5566,867,0.15576715774344232
6,28,Nassau,372,0,5334,808,0.15148106486689164
7,26,Nassau,376,0,5399,842,0.15595480644563808
8,30,Nassau,372,0,5400,858,0.15888888888888889
9,27,Nassau,383,0,5529,861,0.15572436245252305
10,25,Nassau,397,2,5566,867,0.15576715774344232
5,31,Nassau,150,26,4872,610,0.12520525451559936
6,28,Nassau,148,28,5334,808,0.15148106486689164
7,26,Nassau,149,28,5399,842,0.15595480644563808
8,30,Nassau,145,28,5400,858,0.15888888888888889
9,27,Nassau,148,28,5529,861,0.15572436245252305
10,25,Nassau,146,28,5566,867,0.15576715774344232
5,31,New York,60,49,4485,654,0.14581939799331103
6,28,New York,73,50,4482,707,0.15774207942882643
7,26,New York,71,50,4508,733,0.16259982253771074
8,30,New York,84,50,4562,750,0.16440157825515125
9,27,New York,74,50,4501,774,0.17196178626971784
10,25,New York,53,50,4610,780,0.16919739696312364
6,28,Bronx,296,99,9266,1328,0.14331966328512843
7,26,Bronx,281,100,9248,1357,0.14673442906574394
8,30,Bronx,275,102,9057,1372,0.15148503919620182
9,27,Bronx,273,102,9345,1382,0.14788657035848046
10,25,Bronx,264,102,9386,1391,0.1481994459833795
5,31,Bronx,92,12,8232,798,0.09693877551020408
6,28,Bronx,89,17,9266,1328,0.14331966328512843
7,26,Bronx,92,18,9248,1357,0.14673442906574394
8,30,Bronx,95,18,9057,1372,0.15148503919620182
9,27,Bronx,99,18,9345,1382,0.14788657035848046
10,25,Bronx,96,18,9386,1391,0.1481994459833795
5,31,Wyoming,133,3,207,3,0.014492753623188406
6,28,Wyoming,134,3,207,3,0.014492753623188406
7,26,Wyoming,134,3,208,3,0.014423076923076924
8,30,Wyoming,137,3,210,3,0.014285714285714285
9,27,Wyoming,134,3,207,3,0.014492753623188406
10,25,Wyoming,132,3,204,3,0.014705882352941176
5,31,Suffolk,56,0,6153,1325,0.21534210954006175
6,28,Suffolk,52,1,6152,1484,0.24122236671001301
7,26,Suffolk,55,1,6180,1521,0.24611650485436892
8,30,Suffolk,51,1,6343,1537,0.24231436228913764
9,27,Suffolk,59,1,6444,1548,0.24022346368715083
10,25,Suffolk,58,1,6508,1561,0.23985863552550707
5,31,Queens,90,0,8683,914,0.10526315789473684
6,28,Queens,90,1,9066,1219,0.13445841606000442
7,26,Queens,91,1,9114,1253,0.13748079877112135
8,30,Queens,92,1,9310,1337,0.14360902255639096
9,27,Queens,92,1,9359,1357,0.14499412330377176
10,25,Queens,91,1,9387,1379,0.14690529455630127
5,31,Rockland,197,8,958,87,0.09081419624217119
6,28,Rockland,194,12,1020,119,0.11666666666666667
7,26,Rockland,190,14,1021,123,0.12047012732615084
8,30,Rockland,187,14,1034,126,0.1218568665377176
9,27,Rockland,185,19,1070,133,0.12429906542056075
10,25,Rockland,185,20,1081,140,0.12950971322849214
5,31,Bronx,69,6,8232,798,0.09693877551020408
6,28,Bronx,70,11,9266,1328,0.14331966328512843
7,26,Bronx,63,11,9248,1357,0.14673442906574394
8,30,Bronx,71,11,9057,1372,0.15148503919620182
9,27,Bronx,72,11,9345,1382,0.14788657035848046
10,25,Bronx,72,11,9386,1391,0.1481994459833795
5,31,New York,265,110,4485,654,0.14581939799331103
6,28,New York,254,113,4482,707,0.15774207942882643
7,26,New York,262,113,4508,733,0.16259982253771074
8,30,New York,257,115,4562,750,0.16440157825515125
9,27,New York,274,121,4501,774,0.17196178626971784
10,25,New York,267,122,4610,780,0.16919739696312364
5,31,Chemung,297,0,539,0,0
6,28,Chemung,289,0,528,0,0
7,26,Chemung,291,0,527,0,0
8,30,Chemung,288,0,518,0,0
9,27,Chemung,288,0,516,0,0
10,25,Chemung,290,3,521,4,0.007677543186180422
5,31,Erie,77,1,4271,782,0.18309529384219153
6,28,Erie,68,1,4473,1113,0.24882629107981222
7,26,Erie,60,1,4481,1171,0.26132559696496316
8,30,Erie,59,19,4583,1197,0.2611826314641065
9,27,Erie,50,21,4600,1226,0.2665217391304348
10,25,Erie,59,23,4558,1344,0.2948661693725318
5,31,Bronx,42,0,8232,798,0.09693877551020408
6,28,Bronx,44,3,9266,1328,0.14331966328512843
7,26,Bronx,44,4,9248,1357,0.14673442906574394
8,30,Bronx,46,4,9057,1372,0.15148503919620182
9,27,Bronx,45,4,9345,1382,0.14788657035848046
10,25,Bronx,46,4,9386,1391,0.1481994459833795
5,31,New York,493,30,4485,654,0.14581939799331103
6,28,New York,501,35,4482,707,0.15774207942882643
7,26,New York,511,39,4508,733,0.16259982253771074
8,30,New York,506,40,4562,750,0.16440157825515125
9,27,New York,504,41,4501,774,0.17196178626971784
10,25,New York,502,42,4610,780,0.16919739696312364
5,31,Suffolk,130,0,6153,1325,0.21534210954006175
6,28,Suffolk,133,2,6152,1484,0.24122236671001301
7,26,Suffolk,131,2,6180,1521,0.24611650485436892
8,30,Suffolk,130,2,6343,1537,0.24231436228913764
9,27,Suffolk,139,2,6444,1548,0.24022346368715083
10,25,Suffolk,160,2,6508,1561,0.23985863552550707
5,31,Madison,109,0,166,29,0.1746987951807229
6,28,Madison,109,0,318,29,0.09119496855345911
7,26,Madison,103,0,315,29,0.09206349206349207
8,30,Madison,110,0,327,30,0.09174311926605505
9,27,Madison,107,0,316,30,0.0949367088607595
10,25,Madison,102,0,320,30,0.09375
5,31,Livingston,47,0,302,4,0.013245033112582781
6,28,Livingston,43,0,291,4,0.013745704467353952
7,26,Livingston,40,0,283,5,0.0176678445229682
8,30,Livingston,41,0,282,5,0.01773049645390071
9,27,Livingston,38,0,276,5,0.018115942028985508
10,25,Livingston,39,0,275,5,0.01818181818181818
5,31,Kings,199,0,7723,851,0.11019034054124045
6,28,Kings,201,21,7928,1106,0.13950554994954592
7,26,Kings,204,21,8019,1136,0.1416635490709565
8,30,Kings,205,21,8153,1147,0.14068441064638784
9,27,Kings,205,22,8145,1176,0.1443830570902394
10,25,Kings,198,22,8167,1234,0.1510958736378107
5,31,Chemung,81,0,539,0,0
6,28,Chemung,82,0,528,0,0
7,26,Chemung,78,0,527,0,0
8,30,Chemung,73,0,518,0,0
9,27,Chemung,74,0,516,0,0
10,25,Chemung,78,0,521,4,0.007677543186180422
5,31,Nassau,127,0,4872,610,0.12520525451559936
6,28,Nassau,129,3,5334,808,0.15148106486689164
7,26,Nassau,125,4,5399,842,0.15595480644563808
8,30,Nassau,123,9,5400,858,0.15888888888888889
9,27,Nassau,123,10,5529,861,0.15572436245252305
10,25,Nassau,125,10,5566,867,0.15576715774344232
5,31,Cayuga,36,0,185,0,0
6,28,Cayuga,34,0,466,0,0
7,26,Cayuga,33,0,461,1,0.0021691973969631237
8,30,Cayuga,35,0,462,1,0.0021645021645021645
9,27,Cayuga,35,0,463,1,0.0021598272138228943
10,25,Cayuga,34,0,457,3,0.006564551422319475
5,31,Westchester,94,13,4474,626,0.1399195350916406
6,28,Westchester,96,19,4808,775,0.16118968386023294
7,26,Westchester,103,19,4814,805,0.16722060656418777
8,30,Westchester,103,19,4944,810,0.1638349514563107
9,27,Westchester,100,19,4964,824,0.16599516518936341
10,25,Westchester,112,19,4989,862,0.17278011625576267
5,31,Bronx,152,36,8232,798,0.09693877551020408
6,28,Bronx,143,39,9266,1328,0.14331966328512843
7,26,Bronx,144,44,9248,1357,0.14673442906574394
8,30,Bronx,146,44,9057,1372,0.15148503919620182
9,27,Bronx,144,44,9345,1382,0.14788657035848046
10,25,Bronx,142,44,9386,1391,0.1481994459833795
5,31,Westchester,224,12,4474,626,0.1399195350916406
6,28,Westchester,223,12,4808,775,0.16118968386023294
7,26,Westchester,214,13,4814,805,0.16722060656418777
8,30,Westchester,218,13,4944,810,0.1638349514563107
9,27,Westchester,212,13,4964,824,0.16599516518936341
10,25,Westchester,200,14,4989,862,0.17278011625576267
5,31,Monroe,306,60,3810,404,0.10603674540682415
6,28,Monroe,297,80,3779,434,0.11484519714210109
7,26,Monroe,311,80,3847,436,0.1133350662854172
8,30,Monroe,313,80,4000,438,0.1095
9,27,Monroe,305,80,4026,441,0.10953800298062594
10,25,Monroe,303,80,4147,473,0.11405835543766578
5,31,Monroe,156,45,3810,404,0.10603674540682415
6,28,Monroe,144,45,3779,434,0.11484519714210109
7,26,Monroe,143,45,3847,436,0.1133350662854172
8,30,Monroe,143,45,4000,438,0.1095
9,27,Monroe,141,45,4026,441,0.10953800298062594
10,25,Monroe,144,45,4147,473,0.11405835543766578
5,31,Suffolk,127,1,6153,1325,0.21534210954006175
6,28,Suffolk,122,4,6152,1484,0.24122236671001301
7,26,Suffolk,123,4,6180,1521,0.24611650485436892
8,30,Suffolk,119,4,6343,1537,0.24231436228913764
9,27,Suffolk,119,4,6444,1548,0.24022346368715083
10,25,Suffolk,117,4,6508,1561,0.23985863552550707
5,31,St. Lawrence,80,0,534,1,0.0018726591760299626
6,28,St. Lawrence,81,0,545,1,0.001834862385321101
7,26,St. Lawrence,82,0,545,1,0.001834862385321101
8,30,St. Lawrence,82,0,540,1,0.001851851851851852
9,27,St. Lawrence,81,0,540,1,0.001851851851851852
10,25,St. Lawrence,81,0,550,1,0.0018181818181818182
5,31,Broome,98,0,1312,93,0.07088414634146341
6,28,Broome,99,0,1338,131,0.09790732436472346
7,26,Broome,95,0,1345,182,0.13531598513011153
8,30,Broome,105,0,1357,207,0.15254237288135594
9,27,Broome,112,0,1340,207,0.15447761194029852
10,25,Broome,101,0,1298,305,0.2349768875192604
5,31,Fulton,155,73,307,94,0.30618892508143325
6,28,Fulton,157,80,302,125,0.4139072847682119
7,26,Fulton,155,103,304,150,0.4934210526315789
8,30,Fulton,163,111,308,158,0.512987012987013
9,27,Fulton,159,111,307,158,0.5146579804560261
10,25,Fulton,166,111,312,158,0.5064102564102564
5,31,New York,154,1,4485,654,0.14581939799331103
6,28,New York,152,3,4482,707,0.15774207942882643
7,26,New York,151,3,4508,733,0.16259982253771074
8,30,New York,153,3,4562,750,0.16440157825515125
9,27,New York,158,3,4501,774,0.17196178626971784
10,25,New York,156,3,4610,780,0.16919739696312364
5,31,Queens,158,1,8683,914,0.10526315789473684
6,28,Queens,154,7,9066,1219,0.13445841606000442
7,26,Queens,170,7,9114,1253,0.13748079877112135
8,30,Queens,180,7,9310,1337,0.14360902255639096
9,27,Queens,173,7,9359,1357,0.14499412330377176
10,25,Queens,176,7,9387,1379,0.14690529455630127
5,31,Bronx,115,1,8232,798,0.09693877551020408
6,28,Bronx,118,9,9266,1328,0.14331966328512843
7,26,Bronx,118,13,9248,1357,0.14673442906574394
8,30,Bronx,117,14,9057,1372,0.15148503919620182
9,27,Bronx,115,14,9345,1382,0.14788657035848046
10,25,Bronx,114,14,9386,1391,0.1481994459833795
5,31,Chenango,149,4,423,4,0.009456264775413711
6,28,Chenango,145,4,401,4,0.00997506234413965
7,26,Chenango,143,5,398,5,0.01256281407035176
8,30,Chenango,140,5,396,5,0.012626262626262626
9,27,Chenango,140,5,396,5,0.012626262626262626
10,25,Chenango,148,5,402,6,0.014925373134328358
5,31,Ontario,44,0,427,20,0.0468384074941452
6,28,Ontario,42,0,387,30,0.07751937984496124
7,26,Ontario,44,0,420,30,0.07142857142857142
8,30,Ontario,46,0,435,31,0.07126436781609195
9,27,Ontario,144,0,527,31,0.058823529411764705
10,25,Ontario,144,0,540,32,0.05925925925925926
5,31,New York,505,10,4485,654,0.14581939799331103
6,28,New York,497,11,4482,707,0.15774207942882643
7,26,New York,490,11,4508,733,0.16259982253771074
8,30,New York,493,11,4562,750,0.16440157825515125
9,27,New York,486,12,4501,774,0.17196178626971784
10,25,New York,498,13,4610,780,0.16919739696312364
5,31,Tioga,66,0,204,65,0.31862745098039214
6,28,Tioga,68,0,201,69,0.34328358208955223
7,26,Tioga,72,0,221,69,0.31221719457013575
8,30,Tioga,69,0,236,70,0.2966101694915254
9,27,Tioga,66,0,232,70,0.3017241379310345
10,25,Tioga,59,23,223,105,0.47085201793721976
5,31,Kings,70,13,7723,851,0.11019034054124045
6,28,Kings,69,14,7928,1106,0.13950554994954592
7,26,Kings,74,14,8019,1136,0.1416635490709565
8,30,Kings,70,14,8153,1147,0.14068441064638784
9,27,Kings,70,14,8145,1176,0.1443830570902394
10,25,Kings,69,14,8167,1234,0.1510958736378107
5,31,Monroe,291,1,3810,404,0.10603674540682415
6,28,Monroe,287,3,3779,434,0.11484519714210109
7,26,Monroe,293,3,3847,436,0.1133350662854172
8,30,Monroe,280,3,4000,438,0.1095
9,27,Monroe,289,3,4026,441,0.10953800298062594
10,25,Monroe,286,3,4147,473,0.11405835543766578
5,31,Richmond,266,14,2384,320,0.1342281879194631
6,28,Richmond,282,37,2410,391,0.16224066390041494
7,26,Richmond,284,41,2415,399,0.16521739130434782
8,30,Richmond,291,42,2411,406,0.16839485690584818
9,27,Richmond,284,42,2395,410,0.17118997912317327
10,25,Richmond,278,42,2418,414,0.17121588089330025
5,31,Rensselaer,211,0,1080,18,0.016666666666666666
6,28,Rensselaer,223,0,1106,21,0.0189873417721519
7,26,Rensselaer,228,0,1088,103,0.09466911764705882
8,30,Rensselaer,233,0,1087,128,0.11775528978840846
9,27,Rensselaer,229,0,1084,128,0.11808118081180811
10,25,Rensselaer,231,0,1093,145,0.13266239707227814
5,31,Erie,208,35,4271,782,0.18309529384219153
6,28,Erie,201,40,4473,1113,0.24882629107981222
7,26,Erie,216,40,4481,1171,0.26132559696496316
8,30,Erie,212,40,4583,1197,0.2611826314641065
9,27,Erie,215,40,4600,1226,0.2665217391304348
10,25,Erie,221,40,4558,1344,0.2948661693725318
5,31,Kings,145,18,7723,851,0.11019034054124045
6,28,Kings,144,18,7928,1106,0.13950554994954592
7,26,Kings,149,18,8019,1136,0.1416635490709565
8,30,Kings,152,18,8153,1147,0.14068441064638784
9,27,Kings,158,18,8145,1176,0.1443830570902394
10,25,Kings,152,18,8167,1234,0.1510958736378107
5,31,Franklin,119,0,170,0,0
6,28,Franklin,123,0,171,0,0
7,26,Franklin,117,0,166,0,0
8,30,Franklin,121,0,176,0,0
9,27,Franklin,123,0,178,0,0
10,25,Franklin,127,0,180,0,0
5,31,Albany,119,28,1411,130,0.09213323883770376
6,28,Albany,114,30,1443,141,0.09771309771309772
7,26,Albany,105,43,1474,155,0.10515603799185888
8,30,Albany,102,45,1484,164,0.1105121293800539
9,27,Albany,106,45,1475,164,0.1111864406779661
10,25,Albany,118,47,1519,169,0.11125740618828177
5,31,Queens,143,25,8683,914,0.10526315789473684
6,28,Queens,143,25,9066,1219,0.13445841606000442
7,26,Queens,147,25,9114,1253,0.13748079877112135
8,30,Queens,154,25,9310,1337,0.14360902255639096
9,27,Queens,158,25,9359,1357,0.14499412330377176
10,25,Queens,156,25,9387,1379,0.14690529455630127
5,31,Kings,116,4,7723,851,0.11019034054124045
6,28,Kings,115,9,7928,1106,0.13950554994954592
7,26,Kings,117,9,8019,1136,0.1416635490709565
8,30,Kings,117,9,8153,1147,0.14068441064638784
9,27,Kings,116,9,8145,1176,0.1443830570902394
10,25,Kings,120,9,8167,1234,0.1510958736378107
5,31,Queens,353,38,8683,914,0.10526315789473684
6,28,Queens,354,49,9066,1219,0.13445841606000442
7,26,Queens,358,50,9114,1253,0.13748079877112135
8,30,Queens,356,54,9310,1337,0.14360902255639096
9,27,Queens,358,54,9359,1357,0.14499412330377176
10,25,Queens,356,54,9387,1379,0.14690529455630127
5,31,Queens,137,35,8683,914,0.10526315789473684
6,28,Queens,157,36,9066,1219,0.13445841606000442
7,26,Queens,150,43,9114,1253,0.13748079877112135
8,30,Queens,155,43,9310,1337,0.14360902255639096
9,27,Queens,160,43,9359,1357,0.14499412330377176
10,25,Queens,158,45,9387,1379,0.14690529455630127
5,31,Onondaga,518,41,2297,386,0.16804527644754028
6,28,Onondaga,502,52,2354,461,0.19583687340696687
7,26,Onondaga,509,53,2414,463,0.19179784589892296
8,30,Onondaga,516,53,2425,467,0.19257731958762886
9,27,Onondaga,509,54,2449,468,0.19109840751327073
10,25,Onondaga,502,54,2422,473,0.1952931461601982
5,31,Queens,75,0,8683,914,0.10526315789473684
6,28,Queens,72,0,9066,1219,0.13445841606000442
7,26,Queens,77,0,9114,1253,0.13748079877112135
8,30,Queens,81,0,9310,1337,0.14360902255639096
9,27,Queens,74,0,9359,1357,0.14499412330377176
10,25,Queens,71,0,9387,1379,0.14690529455630127
5,31,Nassau,89,13,4872,610,0.12520525451559936
6,28,Nassau,88,21,5334,808,0.15148106486689164
7,26,Nassau,96,21,5399,842,0.15595480644563808
8,30,Nassau,95,22,5400,858,0.15888888888888889
9,27,Nassau,93,22,5529,861,0.15572436245252305
10,25,Nassau,96,22,5566,867,0.15576715774344232
5,31,Nassau,69,5,4872,610,0.12520525451559936
6,28,Nassau,67,6,5334,808,0.15148106486689164
7,26,Nassau,75,6,5399,842,0.15595480644563808
8,30,Nassau,88,6,5400,858,0.15888888888888889
9,27,Nassau,81,6,5529,861,0.15572436245252305
10,25,Nassau,66,10,5566,867,0.15576715774344232
5,31,Chautauqua,129,0,825,0,0
6,28,Chautauqua,139,1,846,1,0.001182033096926714
7,26,Chautauqua,141,1,821,1,0.001218026796589525
8,30,Chautauqua,144,1,830,1,0.0012048192771084338
9,27,Chautauqua,140,1,814,1,0.0012285012285012285
10,25,Chautauqua,138,1,808,4,0.0049504950495049506
5,31,Queens,104,1,8683,914,0.10526315789473684
6,28,Queens,104,5,9066,1219,0.13445841606000442
7,26,Queens,104,6,9114,1253,0.13748079877112135
8,30,Queens,105,6,9310,1337,0.14360902255639096
9,27,Queens,106,6,9359,1357,0.14499412330377176
10,25,Queens,105,6,9387,1379,0.14690529455630127
5,31,Queens,186,0,8683,914,0.10526315789473684
6,28,Queens,190,0,9066,1219,0.13445841606000442
7,26,Queens,187,1,9114,1253,0.13748079877112135
8,30,Queens,186,3,9310,1337,0.14360902255639096
9,27,Queens,192,3,9359,1357,0.14499412330377176
10,25,Queens,181,4,9387,1379,0.14690529455630127
5,31,Rockland,132,8,958,87,0.09081419624217119
6,28,Rockland,144,12,1020,119,0.11666666666666667
7,26,Rockland,152,13,1021,123,0.12047012732615084
8,30,Rockland,148,14,1034,126,0.1218568665377176
9,27,Rockland,149,14,1070,133,0.12429906542056075
10,25,Rockland,144,14,1081,140,0.12950971322849214
5,31,Queens,149,9,8683,914,0.10526315789473684
6,28,Queens,144,24,9066,1219,0.13445841606000442
7,26,Queens,142,25,9114,1253,0.13748079877112135
8,30,Queens,140,25,9310,1337,0.14360902255639096
9,27,Queens,141,25,9359,1357,0.14499412330377176
10,25,Queens,141,25,9387,1379,0.14690529455630127
5,31,Queens,60,19,8683,914,0.10526315789473684
6,28,Queens,67,24,9066,1219,0.13445841606000442
7,26,Queens,66,24,9114,1253,0.13748079877112135
8,30,Queens,60,24,9310,1337,0.14360902255639096
9,27,Queens,62,24,9359,1357,0.14499412330377176
10,25,Queens,60,24,9387,1379,0.14690529455630127
5,31,Nassau,81,0,4872,610,0.12520525451559936
6,28,Nassau,73,0,5334,808,0.15148106486689164
7,26,Nassau,76,0,5399,842,0.15595480644563808
8,30,Nassau,76,0,5400,858,0.15888888888888889
9,27,Nassau,74,0,5529,861,0.15572436245252305
10,25,Nassau,75,0,5566,867,0.15576715774344232
5,31,Nassau,69,1,4872,610,0.12520525451559936
6,28,Nassau,73,3,5334,808,0.15148106486689164
7,26,Nassau,79,3,5399,842,0.15595480644563808
8,30,Nassau,76,3,5400,858,0.15888888888888889
9,27,Nassau,79,3,5529,861,0.15572436245252305
10,25,Nassau,77,3,5566,867,0.15576715774344232
5,31,Suffolk,98,13,6153,1325,0.21534210954006175
6,28,Suffolk,102,13,6152,1484,0.24122236671001301
7,26,Suffolk,98,13,6180,1521,0.24611650485436892
8,30,Suffolk,98,13,6343,1537,0.24231436228913764
9,27,Suffolk,96,13,6444,1548,0.24022346368715083
10,25,Suffolk,102,13,6508,1561,0.23985863552550707
6,28,Nassau,79,0,5334,808,0.15148106486689164
7,26,Nassau,84,0,5399,842,0.15595480644563808
8,30,Nassau,81,0,5400,858,0.15888888888888889
9,27,Nassau,84,0,5529,861,0.15572436245252305
10,25,Nassau,84,0,5566,867,0.15576715774344232
5,31,Nassau,100,13,4872,610,0.12520525451559936
6,28,Nassau,97,16,5334,808,0.15148106486689164
7,26,Nassau,98,17,5399,842,0.15595480644563808
8,30,Nassau,102,18,5400,858,0.15888888888888889
9,27,Nassau,120,18,5529,861,0.15572436245252305
10,25,Nassau,119,18,5566,867,0.15576715774344232
5,31,Nassau,159,5,4872,610,0.12520525451559936
6,28,Nassau,153,8,5334,808,0.15148106486689164
7,26,Nassau,145,9,5399,842,0.15595480644563808
8,30,Nassau,46,9,5400,858,0.15888888888888889
9,27,Nassau,144,9,5529,861,0.15572436245252305
10,25,Nassau,146,9,5566,867,0.15576715774344232
5,31,Kings,172,0,7723,851,0.11019034054124045
6,28,Kings,180,2,7928,1106,0.13950554994954592
7,26,Kings,182,2,8019,1136,0.1416635490709565
8,30,Kings,187,2,8153,1147,0.14068441064638784
9,27,Kings,188,2,8145,1176,0.1443830570902394
10,25,Kings,187,2,8167,1234,0.1510958736378107
5,31,Erie,128,16,4271,782,0.18309529384219153
6,28,Erie,131,40,4473,1113,0.24882629107981222
7,26,Erie,146,41,4481,1171,0.26132559696496316
8,30,Erie,139,41,4583,1197,0.2611826314641065
9,27,Erie,128,41,4600,1226,0.2665217391304348
10,25,Erie,130,41,4558,1344,0.2948661693725318
5,31,Queens,155,29,8683,914,0.10526315789473684
6,28,Queens,152,36,9066,1219,0.13445841606000442
7,26,Queens,152,36,9114,1253,0.13748079877112135
8,30,Queens,155,36,9310,1337,0.14360902255639096
9,27,Queens,149,36,9359,1357,0.14499412330377176
10,25,Queens,150,36,9387,1379,0.14690529455630127
6,28,Queens,91,0,9066,1219,0.13445841606000442
7,26,Queens,94,0,9114,1253,0.13748079877112135
8,30,Queens,95,0,9310,1337,0.14360902255639096
9,27,Queens,93,0,9359,1357,0.14499412330377176
10,25,Queens,95,0,9387,1379,0.14690529455630127
5,31,Erie,133,0,4271,782,0.18309529384219153
6,28,Erie,132,0,4473,1113,0.24882629107981222
7,26,Erie,62,0,4481,1171,0.26132559696496316
8,30,Erie,115,0,4583,1197,0.2611826314641065
9,27,Erie,124,0,4600,1226,0.2665217391304348
10,25,Erie,85,69,4558,1344,0.2948661693725318
5,31,Kings,233,52,7723,851,0.11019034054124045
6,28,Kings,258,53,7928,1106,0.13950554994954592
7,26,Kings,251,54,8019,1136,0.1416635490709565
8,30,Kings,256,55,8153,1147,0.14068441064638784
9,27,Kings,256,55,8145,1176,0.1443830570902394
10,25,Kings,249,57,8167,1234,0.1510958736378107
5,31,Suffolk,314,17,6153,1325,0.21534210954006175
6,28,Suffolk,317,18,6152,1484,0.24122236671001301
7,26,Suffolk,307,18,6180,1521,0.24611650485436892
8,30,Suffolk,324,18,6343,1537,0.24231436228913764
9,27,Suffolk,321,18,6444,1548,0.24022346368715083
10,25,Suffolk,322,20,6508,1561,0.23985863552550707
5,31,Erie,125,23,4271,782,0.18309529384219153
6,28,Erie,126,29,4473,1113,0.24882629107981222
7,26,Erie,130,29,4481,1171,0.26132559696496316
8,30,Erie,128,29,4583,1197,0.2611826314641065
9,27,Erie,143,29,4600,1226,0.2665217391304348
10,25,Erie,131,29,4558,1344,0.2948661693725318
5,31,Kings,130,2,7723,851,0.11019034054124045
6,28,Kings,121,3,7928,1106,0.13950554994954592
7,26,Kings,116,3,8019,1136,0.1416635490709565
8,30,Kings,98,3,8153,1147,0.14068441064638784
9,27,Kings,129,3,8145,1176,0.1443830570902394
10,25,Kings,152,3,8167,1234,0.1510958736378107
5,31,Erie,57,34,4271,782,0.18309529384219153
6,28,Erie,59,34,4473,1113,0.24882629107981222
7,26,Erie,61,34,4481,1171,0.26132559696496316
8,30,Erie,58,34,4583,1197,0.2611826314641065
9,27,Erie,57,34,4600,1226,0.2665217391304348
