county,month,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate
Jefferson,9/1/2020,22,7592,0.002897787,0.005813953
Jefferson,10/1/2020,50,9844,0.005079236,0.004504505
Jefferson,11/1/2020,102,4807,0.021219056,0.00308642
Kings,3/1/2020,13115,25819,0.507959255,0.019900877
Kings,4/1/2020,32404,89598,0.361659858,0.114853138
Kings,5/1/2020,10534,165784,0.063540511,0.120100619
Kings,6/1/2020,3689,244362,0.015096455,0.11889458
Kings,7/1/2020,2752,245174,0.011224681,0.115963132
Kings,8/1/2020,2624,281365,0.009325964,0.111950613
Kings,9/1/2020,3944,294289,0.013401792,0.106122035
Kings,10/1/2020,7176,441015,0.016271555,0.097064456
Kings,11/1/2020,5133,256814,0.019987228,0.09155596
Lewis,3/1/2020,2,67,0.029850746,0
Lewis,4/1/2020,7,251,0.027888446,0.444444444
Lewis,5/1/2020,11,1849,0.005949162,0.25
Lewis,6/1/2020,10,2199,0.004547522,0.166666667
Lewis,7/1/2020,4,2052,0.001949318,0.147058824
Lewis,8/1/2020,15,1913,0.007841087,0.102040816
Lewis,9/1/2020,1,1990,0.000502513,0.1
Lewis,10/1/2020,98,3992,0.024549098,0.033783784
Lewis,11/1/2020,89,1724,0.05162413,0.021097046
Livingston,3/1/2020,14,147,0.095238095,0.071428571
Livingston,4/1/2020,59,921,0.064060803,0.01369863
Livingston,5/1/2020,46,2755,0.016696915,0.025210084
Livingston,6/1/2020,11,5034,0.002185141,0.030769231
Livingston,7/1/2020,36,5660,0.006360424,0.024096386
Livingston,8/1/2020,17,6008,0.002829561,0.032786885
Livingston,9/1/2020,25,6720,0.003720238,0.028846154
Livingston,10/1/2020,142,9765,0.014541731,0.017142857
Livingston,11/1/2020,138,7161,0.019271052,0.014344262
Madison,3/1/2020,51,309,0.165048544,0.039215686
Madison,4/1/2020,88,957,0.091954023,0.035971223
Madison,5/1/2020,177,3475,0.050935252,0.025316456
Madison,6/1/2020,41,5831,0.007031384,0.025210084
Madison,7/1/2020,42,6207,0.006766554,0.022556391
Madison,8/1/2020,62,10587,0.005856239,0.019522777
Madison,9/1/2020,37,10000,0.0037,0.018072289
Madison,10/1/2020,95,11367,0.008357526,0.015177066
Madison,11/1/2020,125,6909,0.018092343,0.012534819
Monroe,3/1/2020,349,3599,0.096971381,0.025787966
Monroe,4/1/2020,1129,10995,0.102683038,0.056833559
Monroe,5/1/2020,1486,40854,0.036373427,0.066801619
Monroe,6/1/2020,816,77601,0.010515328,0.064550265
Monroe,7/1/2020,962,88685,0.010847381,0.052720371
Monroe,8/1/2020,720,103292,0.00697053,0.047052362
Monroe,9/1/2020,659,94932,0.006941811,0.042476719
Monroe,10/1/2020,1584,121204,0.013068876,0.033874108
Monroe,11/1/2020,2748,67060,0.040978228,0.025542906
Montgomery,3/1/2020,7,147,0.047619048,0
Montgomery,4/1/2020,47,580,0.081034483,0.074074074
Montgomery,5/1/2020,37,2702,0.01369356,0.043956044
Montgomery,6/1/2020,27,5912,0.004566982,0.033898305
Montgomery,7/1/2020,37,5300,0.006981132,0.025806452
Montgomery,8/1/2020,52,6312,0.008238276,0.038647343
Montgomery,9/1/2020,28,5786,0.004839267,0.038297872
Montgomery,10/1/2020,38,7374,0.005153241,0.032967033
Montgomery,11/1/2020,49,3005,0.016306156,0.034161491
Nassau,3/1/2020,9554,22400,0.426517857,0.006594097
Nassau,4/1/2020,26607,74908,0.355195707,0.047011974
Nassau,5/1/2020,4318,83916,0.051456218,0.052323427
Nassau,6/1/2020,1374,134402,0.010223062,0.052134853
Nassau,7/1/2020,1418,150444,0.009425434,0.050703705
Nassau,8/1/2020,1490,179247,0.008312552,0.049105248
Nassau,9/1/2020,2168,179086,0.012105916,0.046900637
Nassau,10/1/2020,3365,261703,0.012858087,0.044041039
Nassau,11/1/2020,3720,145504,0.025566307,0.041267079
New York,3/1/2020,7373,18597,0.396461795,0.01749627
New York,4/1/2020,14802,50210,0.294801832,0.096144307
New York,5/1/2020,4546,107829,0.042159345,0.108977957
New York,6/1/2020,1797,170092,0.010564871,0.108282488
New York,7/1/2020,2000,213080,0.009386146,0.103086703
New York,8/1/2020,1647,261077,0.006308484,0.098554329
New York,9/1/2020,1461,270090,0.005409308,0.0945102
New York,10/1/2020,3086,392373,0.007864965,0.087110482
New York,11/1/2020,3263,218768,0.014915344,0.080150094
Niagara,3/1/2020,46,278,0.165467626,0
Niagara,4/1/2020,394,2505,0.157285429,0.052272727
Niagara,5/1/2020,606,11440,0.052972028,0.062141491
Niagara,6/1/2020,191,19086,0.010007335,0.068714632
Niagara,7/1/2020,207,20064,0.010316986,0.060941828
Niagara,8/1/2020,182,20523,0.008868099,0.054735547
Niagara,9/1/2020,173,22704,0.007619803,0.049471929
Niagara,10/1/2020,338,32091,0.010532548,0.042115115
Niagara,11/1/2020,571,15655,0.03647397,0.035450517
Oneida,3/1/2020,50,505,0.099009901,0.02
Oneida,4/1/2020,401,3070,0.130618893,0.031042129
Oneida,5/1/2020,585,15976,0.036617426,0.052123552
Oneida,6/1/2020,606,28849,0.021005927,0.056638246
Oneida,7/1/2020,439,27057,0.016225006,0.055261893
Oneida,8/1/2020,200,34037,0.005875959,0.052608505
Oneida,9/1/2020,179,45381,0.003944382,0.05
Oneida,10/1/2020,391,70123,0.005575917,0.045247282
Oneida,11/1/2020,718,36933,0.019440609,0.038105912
Onondaga,3/1/2020,217,3425,0.063357664,0.004608295
Onondaga,4/1/2020,643,7576,0.084873284,0.03255814
Onondaga,5/1/2020,1337,29492,0.045334328,0.053254438
Onondaga,6/1/2020,666,45445,0.014655078,0.057981139
Onondaga,7/1/2020,614,49525,0.012397779,0.049467932
Onondaga,8/1/2020,435,56491,0.007700342,0.045756646
Onondaga,9/1/2020,544,55355,0.009827477,0.040843806
Onondaga,10/1/2020,1306,114645,0.011391687,0.032280458
Onondaga,11/1/2020,1987,58523,0.033952463,0.025035488
Ontario,3/1/2020,24,317,0.075709779,0
Ontario,4/1/2020,67,1385,0.048375451,0.043956044
Ontario,5/1/2020,117,4883,0.02396068,0.091346154
Ontario,6/1/2020,57,9671,0.00589391,0.098113208
Ontario,7/1/2020,84,10984,0.007647487,0.077363897
Ontario,8/1/2020,44,12375,0.003555556,0.071246819
Ontario,9/1/2020,88,13155,0.006689472,0.058212058
Ontario,10/1/2020,229,16973,0.013492017,0.04084507
Ontario,11/1/2020,245,8484,0.028877888,0.031413613
Orange,3/1/2020,1756,5124,0.342701015,0.006833713
Orange,4/1/2020,6995,22885,0.305658728,0.027425437
Orange,5/1/2020,1671,21308,0.07842125,0.035405872
Orange,6/1/2020,308,25353,0.012148464,0.037371855
Orange,7/1/2020,358,26167,0.013681354,0.036706349
Orange,8/1/2020,357,28858,0.01237092,0.035736129
Orange,9/1/2020,754,33674,0.022391162,0.033855234
Orange,10/1/2020,1690,62375,0.027094188,0.030239758
Orange,11/1/2020,1235,35615,0.0346764,0.028101031
Orleans,3/1/2020,6,116,0.051724138,0
Orleans,4/1/2020,86,535,0.160747664,0.086956522
Orleans,5/1/2020,144,1862,0.077336198,0.148305085
Orleans,6/1/2020,45,2934,0.015337423,0.192170819
Orleans,7/1/2020,14,2908,0.004814305,0.186440678
Orleans,8/1/2020,11,3430,0.003206997,0.179738562
Orleans,9/1/2020,30,4738,0.006331786,0.163690476
Orleans,10/1/2020,77,4494,0.017133956,0.133171913
Orleans,11/1/2020,102,2327,0.043833262,0.108737864
Oswego,3/1/2020,17,343,0.049562682,0
Oswego,4/1/2020,47,1285,0.036575875,0.03125
Oswego,5/1/2020,46,4832,0.009519868,0.018181818
Oswego,6/1/2020,91,9493,0.009586011,0.014925373
Oswego,7/1/2020,43,10080,0.004265873,0.012295082
Oswego,8/1/2020,60,10613,0.005653444,0.009868421
Oswego,9/1/2020,202,11708,0.01725316,0.005928854
Oswego,10/1/2020,142,20039,0.007086182,0.00617284
Oswego,11/1/2020,320,10588,0.030222894,0.004132231
Otsego,3/1/2020,19,177,0.107344633,0.052631579
Otsego,4/1/2020,48,1109,0.043282236,0.044776119
Otsego,5/1/2020,5,2643,0.00189179,0.055555556
Otsego,6/1/2020,12,4951,0.002423753,0.047619048
Otsego,7/1/2020,28,4600,0.006086957,0.035714286
Otsego,8/1/2020,67,6006,0.011155511,0.022346369
Otsego,9/1/2020,163,8150,0.02,0.011695906
Otsego,10/1/2020,79,9628,0.008205235,0.011876485
Otsego,11/1/2020,42,5363,0.007831438,0.010799136
Putnam,3/1/2020,207,877,0.236031927,0
Putnam,4/1/2020,783,3437,0.227814955,0.045454545
Putnam,5/1/2020,267,5192,0.05142527,0.047732697
Putnam,6/1/2020,72,7855,0.009166136,0.047404063
Putnam,7/1/2020,96,9702,0.009894867,0.044210526
Putnam,8/1/2020,80,10235,0.007816317,0.041860465
Putnam,9/1/2020,124,10103,0.012273582,0.038674033
Putnam,10/1/2020,232,15751,0.014729224,0.034390113
Putnam,11/1/2020,292,8034,0.036345531,0.029725964
Queens,3/1/2020,14902,26795,0.556148535,0.025231513
Queens,4/1/2020,37372,97583,0.382976543,0.096281134
Queens,5/1/2020,9820,142614,0.068857195,0.100573324
Queens,6/1/2020,3361,218692,0.015368646,0.107814529
Queens,7/1/2020,2586,218522,0.011834049,0.105451125
Queens,8/1/2020,2247,258451,0.008694104,0.102748691
Queens,9/1/2020,2404,250986,0.009578223,0.099777142
Queens,10/1/2020,4957,356796,0.013893093,0.093948409
Queens,11/1/2020,4707,200639,0.023460045,0.088894555
Rensselaer,3/1/2020,43,1162,0.037005164,0
Rensselaer,4/1/2020,255,2247,0.113484646,0.040268456
Rensselaer,5/1/2020,194,6993,0.027742028,0.050813008
Rensselaer,6/1/2020,63,10422,0.006044905,0.057657658
Rensselaer,7/1/2020,179,12205,0.01466612,0.047683924
Rensselaer,8/1/2020,107,13518,0.007915372,0.048751486
Rensselaer,9/1/2020,82,16371,0.005008857,0.045503792
Rensselaer,10/1/2020,201,44846,0.004482005,0.038256228
