month,county,residents_covid19_deaths_per_month,residents_covid19_cases_per_month,NH_monthly_fatality_rate,county_monthly_occupancy,county_monthly_cases,county_monthly_prevalence,NH_occupancy_rate,staff_flu_vaccination_rate,total_supply_ppe_monthly,total_shortage_stuff_monthly,ventilator_dependent_unit_monthly,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate
10,Niagara,0,6,0,1154,6,0.005199306759098787,0.8281397935713926,0.775,1,1,0,NA,NA,NA,NA
5,Oneida,20,98,0.20408163265306123,2175,98,0.045057471264367814,0.8555026766338405,0.7329411764705882,1,1,1,585,15976,0.036617426,0.052123552
6,Oneida,18,84,0.21428571428571427,2143,84,0.03919738684087728,0.8420767958644381,0.7329411764705882,1,1,1,606,28849,0.021005927,0.056638246
7,Oneida,20,30,0.6666666666666666,2082,30,0.01440922190201729,0.8288192326180022,0.7329411764705882,1,1,1,439,27057,0.016225006,0.055261893
8,Oneida,0,3,0,2117,3,0.0014170996693434106,0.8270373063287303,0.7329411764705882,1,1,1,200,34037,0.005875959,0.052608505
9,Oneida,0,5,0,2093,5,0.0023889154323936935,0.8286814866610935,0.7329411764705882,1,1,1,179,45381,0.003944382,0.05
10,Oneida,0,49,0,2094,49,0.023400191021967526,0.8192580047299499,0.7329411764705882,1,1,1,NA,NA,NA,NA
5,Onondaga,90,386,0.23316062176165803,2297,386,0.16804527644754028,0.8209303667938759,0.825,1,1,0,1337,29492,0.045334328,0.053254438
6,Onondaga,39,75,0.52,2354,75,0.0318606627017842,0.8175847809062411,0.825,1,1,0,666,45445,0.014655078,0.057981139
7,Onondaga,6,2,3,2414,2,8.285004142502071e-4,0.8441345963112026,0.825,1,1,0,614,49525,0.012397779,0.049467932
8,Onondaga,0,4,0,2425,4,0.0016494845360824743,0.8520041056916237,0.825,1,0,0,435,56491,0.007700342,0.045756646
9,Onondaga,0,1,0,2449,1,4.083299305839118e-4,0.8657541957306386,0.825,1,1,0,544,55355,0.009827477,0.040843806
